[ 2017-04-22T10:49:20+08:00 ] /web/tuiguang/index.php/Login | NOTIC: [8] A session had already been started - ignoring session_start() functions.php 第 411 行.
[ 2017-04-22T10:49:20+08:00 ] /web/tuiguang/index.php/Login | INFO: Tag[ view_template ] --START--
[ 2017-04-22T10:49:20+08:00 ] /web/tuiguang/index.php/Login | INFO: Run LocationTemplate Behavior [ RunTime:0.002515s ]
[ 2017-04-22T10:49:20+08:00 ] /web/tuiguang/index.php/Login | INFO: Tag[ view_template ] --END-- [ RunTime:0.002621s ]
[ 2017-04-22T10:49:20+08:00 ] /web/tuiguang/index.php/Login | INFO: Tag[ view_parse ] --START--
[ 2017-04-22T10:49:20+08:00 ] /web/tuiguang/index.php/Login | INFO: Run ParseTemplate Behavior [ RunTime:0.015341s ]
[ 2017-04-22T10:49:20+08:00 ] /web/tuiguang/index.php/Login | INFO: Tag[ view_parse ] --END-- [ RunTime:0.015399s ]
[ 2017-04-22T10:49:20+08:00 ] /web/tuiguang/index.php/Login | INFO: Tag[ view_filter ] --START--
[ 2017-04-22T10:49:20+08:00 ] /web/tuiguang/index.php/Login | INFO: Run ContentReplace Behavior [ RunTime:0.001055s ]
[ 2017-04-22T10:49:20+08:00 ] /web/tuiguang/index.php/Login | INFO: Run TokenBuild Behavior [ RunTime:0.001170s ]
[ 2017-04-22T10:49:20+08:00 ] /web/tuiguang/index.php/Login | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000919s ]
[ 2017-04-22T10:49:20+08:00 ] /web/tuiguang/index.php/Login | INFO: Run ShowRuntime Behavior [ RunTime:0.001004s ]
[ 2017-04-22T10:49:20+08:00 ] /web/tuiguang/index.php/Login | INFO: Tag[ view_filter ] --END-- [ RunTime:0.004300s ]
[ 2017-04-22T10:49:20+08:00 ] /web/tuiguang/index.php/Login | NOTIC: [2] Cannot modify header information - headers already sent by (output started at F:\nginx-1.8.1\html\web\tuiguang\Common\common.php:1) View.class.php 第 120 行.
[ 2017-04-22T10:49:20+08:00 ] /web/tuiguang/index.php/Login | NOTIC: [2] Cannot modify header information - headers already sent by (output started at F:\nginx-1.8.1\html\web\tuiguang\Common\common.php:1) View.class.php 第 121 行.
[ 2017-04-22T10:49:20+08:00 ] /web/tuiguang/index.php/Login | NOTIC: [2] Cannot modify header information - headers already sent by (output started at F:\nginx-1.8.1\html\web\tuiguang\Common\common.php:1) View.class.php 第 122 行.
[ 2017-04-22T10:49:20+08:00 ] /web/tuiguang/index.php/Login | INFO: Tag[ view_end ] --START--
[ 2017-04-22T10:49:20+08:00 ] /web/tuiguang/index.php/Login | INFO: Run ShowPageTrace Behavior [ RunTime:0.001065s ]
[ 2017-04-22T10:49:20+08:00 ] /web/tuiguang/index.php/Login | INFO: Tag[ view_end ] --END-- [ RunTime:0.001112s ]
[ 2017-04-22T10:49:20+08:00 ] /web/tuiguang/index.php/Login/verify | INFO: Tag[ route_check ] --START--
[ 2017-04-22T10:49:20+08:00 ] /web/tuiguang/index.php/Login/verify | INFO: Run CheckRoute Behavior [ RunTime:0.002921s ]
[ 2017-04-22T10:49:20+08:00 ] /web/tuiguang/index.php/Login/verify | INFO: Tag[ route_check ] --END-- [ RunTime:0.003143s ]
[ 2017-04-22T10:49:20+08:00 ] /web/tuiguang/index.php/Login/verify | INFO: Tag[ app_begin ] --START--
[ 2017-04-22T10:49:20+08:00 ] /web/tuiguang/index.php/Login/verify | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001998s ]
[ 2017-04-22T10:49:20+08:00 ] /web/tuiguang/index.php/Login/verify | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002066s ]
